city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Portland,OR,97202,3017-SE-Claybourne-St,"Residential, single family residence",Built in 1925,"Mini split, radiant, fireplace(s)",Wall unit(s),2 Attached garage spaces,0,0.25 Acres,$277 price/sqft,2.5% buyers agency fee,1325000
Portland,OR,97201,2470-SW-Sherwood-Dr,"Residential, single family residence",Built in 2023,"Forced air 95 plus, fireplace(s)",Central air,2 Attached garage spaces,0,0.25 Acres,$576 price/sqft,2.5% buyers agency fee,1999900
Beaverton,OR,97005,11870-SW-13th-St,"Residential, single family residence",Built in 1948,Wall furnace,No data,Open parking,0,0.25 Acres,$550 price/sqft,2.5% buyers agency fee,440000
Eugene,OR,97405,81-Marlboro-Ln,"Residential, single family residence",Built in 2002,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.25 Acres,$239 price/sqft,2.5% buyers agency fee,650000
Vancouver,WA,98684,13503-NE-19th-St-4,"Residential, condominium, townhouse",Built in 1969,"Forced air, fireplace(s)",Central air,2 Garage spaces,$175 monthly HOA fee,No data,$231 price/sqft,2.25% buyers agency fee,325000
Oswego,OR,97035,5733-SW-Kimball-Ct-Lake,"Residential, single family residence",Built in 1970,Forced air,No data,Carport,0,0.25 Acres,$497 price/sqft,2% buyers agency fee,669000
Springfield,OR,97478,545-Mountaingate-Dr-UNIT-6,"Residential, single family residence",Built in 2009,"Forced air 90, fireplace(s)",Central air,1 Attached garage space,0,0.25 Acres,$274 price/sqft,2% buyers agency fee,565500
Vancouver,WA,98661,1706-SE-Halyard-Ln,"Residential, condominium, townhouse",Built in 2001,Zoned,No data,1 Attached garage space,$274 monthly HOA fee,No data,$334 price/sqft,2.25% buyers agency fee,449900
Oswego,OR,97034,1525-Ivy-Ct-Lake,"Residential, single family residence",Built in 1961,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.26 Acres,$381 price/sqft,2.5% buyers agency fee,825000
Olympia,WA,98501,2916-Gael-Ct-SE,Single family residence,Built in 1998,"Fireplace(s), forced air","Central air, forced air",3 Carport spaces,0,0.26 Acres,$285 price/sqft,2.5% buyers agency fee,659500
Vancouver,WA,98684,1118-NE-145th-Ave,"Residential, single family residence",Built in 2016,"Forced air, zoned",Central air,3 Attached garage spaces,0,0.26 Acres,$474 price/sqft,2% buyers agency fee,2050000
Vancouver,WA,98683,3511-SE-142nd-Ct,"Residential, single family residence",Built in 2014,Forced air,Central air,3 Attached garage spaces,$200 annually HOA fee,"9,583 sqft",$308 price/sqft,2.25% buyers agency fee,974900
Vancouver,WA,98665,2308-NW-84th-Loop,"Residential, single family residence",Built in 2005,Forced air,Central air,4 Attached garage spaces,$583 monthly HOA fee,0.95 Acres,$492 price/sqft,2.25% buyers agency fee,3995000
Burien,WA,98166,16434-9th-Ave-SW,Single family residence,Built in 1973,"Fireplace(s), forced air, tankless water heater",Central air,2 Attached garage spaces,0,0.26 Acres,$313 price/sqft,3% buyers agency fee,875000
Beaverton,OR,97008,13825-SW-Weir-Rd,"Residential, single family residence",Built in 1985,Forced air,Central air,3 Attached garage spaces,0,0.27 Acres,$308 price/sqft,2.25% buyers agency fee,810000
